DATE,DEXJPUS
1988-01-01,127.75
1988-02-01,128.45
1988-03-01,124.10
1988-04-01,124.92
1988-05-01,125.11
1988-06-01,133.53
1988-07-01,133.05
1988-08-01,136.52
1988-09-01,133.90
1988-10-01,125.50
1988-11-01,121.90
1988-12-01,125.05
1989-01-01,130.50
1989-02-01,126.87
1989-03-01,132.77
1989-04-01,132.85
1989-05-01,142.33
1989-06-01,144.00
1989-07-01,136.95
1989-08-01,144.60
1989-09-01,139.60
1989-10-01,142.73
1989-11-01,142.91
1989-12-01,143.80
1990-01-01,144.55
1990-02-01,148.82
1990-03-01,157.82
1990-04-01,158.85
1990-05-01,152.64
1990-06-01,152.35
1990-07-01,146.13
1990-08-01,143.93
1990-09-01,138.27
1990-10-01,129.95
1990-11-01,133.10
1990-12-01,135.75
1991-01-01,131.45
1991-02-01,132.95
1991-03-01,140.60
1991-04-01,136.38
1991-05-01,138.45
1991-06-01,137.90
1991-07-01,137.42
1991-08-01,136.85
1991-09-01,132.85
1991-10-01,130.60
1991-11-01,130.08
1991-12-01,124.90
1992-01-01,125.55
1992-02-01,129.15
1992-03-01,132.92
1992-04-01,133.30
1992-05-01,127.75
1992-06-01,125.87
1992-07-01,127.35
1992-08-01,122.95
1992-09-01,120.00
1992-10-01,123.30
1992-11-01,124.42
1992-12-01,124.85
1993-01-01,124.97
1993-02-01,118.10
1993-03-01,114.90
1993-04-01,111.27
1993-05-01,107.17
1993-06-01,106.80
1993-07-01,105.05
1993-08-01,104.73
1993-09-01,106.05
1993-10-01,108.35
1993-11-01,109.08
1993-12-01,111.70
1994-01-01,108.72
1994-02-01,104.22
1994-03-01,102.40
1994-04-01,102.05
1994-05-01,104.74
1994-06-01,98.51
1994-07-01,100.05
1994-08-01,100.11
1994-09-01,99.05
1994-10-01,96.90
1994-11-01,98.91
1994-12-01,99.60
1995-01-01,99.43
1995-02-01,96.60
1995-03-01,86.85
1995-04-01,84.04
1995-05-01,84.65
1995-06-01,84.78
1995-07-01,88.34
1995-08-01,97.75
1995-09-01,99.10
1995-10-01,102.26
1995-11-01,101.80
1995-12-01,103.28
1996-01-01,106.95
1996-02-01,105.12
1996-03-01,107.00
1996-04-01,104.63
1996-05-01,107.99
1996-06-01,109.48
1996-07-01,106.77
1996-08-01,108.70
1996-09-01,111.65
1996-10-01,113.79
1996-11-01,113.88
1996-12-01,115.77
1997-01-01,121.25
1997-02-01,120.83
1997-03-01,123.72
1997-04-01,127.03
1997-05-01,116.40
1997-06-01,114.61
1997-07-01,118.37
1997-08-01,120.65
1997-09-01,120.71
1997-10-01,120.39
1997-11-01,127.74
1997-12-01,130.45
1998-01-01,127.10
1998-02-01,126.12
1998-03-01,133.29
1998-04-01,132.37
1998-05-01,138.50
1998-06-01,138.29
1998-07-01,144.65
1998-08-01,140.90
1998-09-01,136.59
1998-10-01,116.45
1998-11-01,123.21
1998-12-01,113.08
1999-01-01,116.00
1999-02-01,118.70
1999-03-01,118.43
1999-04-01,119.43
1999-05-01,120.88
1999-06-01,120.94
1999-07-01,114.70
1999-08-01,109.30
1999-09-01,106.82
1999-10-01,104.29
1999-11-01,101.80
1999-12-01,102.16
2000-01-01,107.33
2000-02-01,109.88
2000-03-01,102.73
2000-04-01,107.98
2000-05-01,107.74
2000-06-01,106.14
2000-07-01,109.68
2000-08-01,106.66
2000-09-01,107.90
2000-10-01,109.15
2000-11-01,110.93
2000-12-01,114.35
2001-01-01,116.39
2001-02-01,117.28
2001-03-01,125.54
2001-04-01,123.57
2001-05-01,118.88
2001-06-01,124.73
2001-07-01,125.00
2001-08-01,118.75
2001-09-01,119.23
2001-10-01,122.54
2001-11-01,123.22
2001-12-01,131.04
2002-01-01,134.06
2002-02-01,133.96
2002-03-01,132.70
2002-04-01,128.45
2002-05-01,124.13
2002-06-01,119.85
2002-07-01,119.77
2002-08-01,118.76
2002-09-01,121.74
2002-10-01,122.78
2002-11-01,122.72
2002-12-01,118.75
2003-01-01,119.96
2003-02-01,118.22
2003-03-01,118.07
2003-04-01,119.07
2003-05-01,119.50
2003-06-01,119.87
2003-07-01,120.42
2003-08-01,116.71
2003-09-01,111.43
2003-10-01,110.10
2003-11-01,109.53
2003-12-01,107.13
2004-01-01,105.84
2004-02-01,109.26
2004-03-01,104.18
2004-04-01,110.37
2004-05-01,110.18
2004-06-01,109.43
2004-07-01,111.39
2004-08-01,109.00
2004-09-01,110.20
2004-10-01,106.04
2004-11-01,103.04
2004-12-01,102.68
2005-01-01,103.55
2005-02-01,104.25
2005-03-01,107.22
2005-04-01,104.64
2005-05-01,107.97
2005-06-01,110.91
2005-07-01,112.25
2005-08-01,110.84
2005-09-01,113.29
2005-10-01,116.36
2005-11-01,119.66
2005-12-01,117.88
2006-01-01,116.88
2006-02-01,115.82
2006-03-01,117.48
2006-04-01,113.79
2006-05-01,112.26
2006-06-01,114.51
2006-07-01,114.44
2006-08-01,117.35
2006-09-01,117.99
2006-10-01,116.82
2006-11-01,115.55
2006-12-01,119.02
2007-01-01,121.02
2007-02-01,118.33
2007-03-01,117.56
2007-04-01,119.44
2007-05-01,121.76
2007-06-01,123.39
2007-07-01,119.13
2007-08-01,115.83
2007-09-01,114.97
2007-10-01,115.27
2007-11-01,111.02
2007-12-01,111.71
2008-01-01,106.74
2008-02-01,104.1900
2008-03-01,99.8500
