DATE,DEXUSEU
1999-01-01,1.1371
1999-02-01,1.0995
1999-03-01,1.0808
1999-04-01,1.0564
1999-05-01,1.0422
1999-06-01,1.0310
1999-07-01,1.0694
1999-08-01,1.0581
1999-09-01,1.0643
1999-10-01,1.0518
1999-11-01,1.0077
1999-12-01,1.0070
2000-01-01,0.9757
2000-02-01,0.9643
2000-03-01,0.9574
2000-04-01,0.9089
2000-05-01,0.9328
2000-06-01,0.9545
2000-07-01,0.9266
2000-08-01,0.8878
2000-09-01,0.8837
2000-10-01,0.8486
2000-11-01,0.8694
2000-12-01,0.9388
2001-01-01,0.9308
2001-02-01,0.9212
2001-03-01,0.8794
2001-04-01,0.8874
2001-05-01,0.8455
2001-06-01,0.8474
2001-07-01,0.8752
2001-08-01,0.9090
2001-09-01,0.9099
2001-10-01,0.8993
2001-11-01,0.8958
2001-12-01,0.8901
2002-01-01,0.8594
2002-02-01,0.8658
2002-03-01,0.8717
2002-04-01,0.9002
2002-05-01,0.9339
2002-06-01,0.9856
2002-07-01,0.9796
2002-08-01,0.9806
2002-09-01,0.9879
2002-10-01,0.9881
2002-11-01,0.9932
2002-12-01,1.0485
2003-01-01,1.0739
2003-02-01,1.0779
2003-03-01,1.0900
2003-04-01,1.1180
2003-05-01,1.1766
2003-06-01,1.1502
2003-07-01,1.1231
2003-08-01,1.0986
2003-09-01,1.1650
2003-10-01,1.1609
2003-11-01,1.1995
2003-12-01,1.2597
2004-01-01,1.2452
2004-02-01,1.2441
2004-03-01,1.2292
2004-04-01,1.1975
2004-05-01,1.2217
2004-06-01,1.2179
2004-07-01,1.2032
2004-08-01,1.2183
2004-09-01,1.2417
2004-10-01,1.2746
2004-11-01,1.3259
2004-12-01,1.3538
2005-01-01,1.3049
2005-02-01,1.3274
2005-03-01,1.2969
2005-04-01,1.2919
2005-05-01,1.2349
2005-06-01,1.2098
2005-07-01,1.2129
2005-08-01,1.2330
2005-09-01,1.2058
2005-10-01,1.1995
2005-11-01,1.1790
2005-12-01,1.1842
2006-01-01,1.2158
2006-02-01,1.1925
2006-03-01,1.2139
2006-04-01,1.2624
2006-05-01,1.2833
2006-06-01,1.2779
2006-07-01,1.2764
2006-08-01,1.2793
2006-09-01,1.2687
2006-10-01,1.2773
2006-11-01,1.3261
2006-12-01,1.3197
2007-01-01,1.2998
2007-02-01,1.3230
2007-03-01,1.3374
2007-04-01,1.3660
2007-05-01,1.3453
2007-06-01,1.3520
2007-07-01,1.3711
2007-08-01,1.3641
2007-09-01,1.4219
2007-10-01,1.4468
2007-11-01,1.4688
2007-12-01,1.4603
2008-01-01,1.4841
2008-02-01,1.5187
2008-03-01,1.5805
