DATE,GDP_PCH
1/1/2012,1.4136
4/1/2012,0.8271
7/1/2012,0.64941
10/1/2012,0.62564
1/1/2013,1.28816
4/1/2013,0.41241
7/1/2013,1.26712
10/1/2013,1.39114
1/1/2014,0.12538
4/1/2014,1.91969
7/1/2014,1.65634
10/1/2014,0.72372
1/1/2015,0.85988
4/1/2015,1.22298
7/1/2015,0.6796
10/1/2015,0.17102
1/1/2016,0.49706
4/1/2016,1.00731
7/1/2016,0.88524
10/1/2016,1.12224
1/1/2017,1.07634
4/1/2017,0.73709
7/1/2017,1.22841
10/1/2017,1.63466
1/1/2018,1.52599
4/1/2018,1.53362
7/1/2018,0.9248
10/1/2018,0.80573
1/1/2019,0.98258
4/1/2019,1.01617
7/1/2019,0.98663
10/1/2019,0.96131
1/1/2020,-0.85645
4/1/2020,-9.46622
7/1/2020,8.45353
10/1/2020,1.53271
1/1/2021,2.6368
