DATE,SP500_PCH
1/1/2012,11.99666
4/1/2012,-3.28796
7/1/2012,5.76364
10/1/2012,-1.00509
1/1/2013,10.02671
4/1/2013,2.36364
7/1/2013,4.68598
10/1/2013,9.92001
1/1/2014,1.29737
4/1/2014,4.69413
7/1/2014,0.61523
10/1/2014,4.39134
1/1/2015,0.43664
4/1/2015,-0.23115
7/1/2015,-6.93516
10/1/2015,6.45354
1/1/2016,0.77302
4/1/2016,1.89927
7/1/2016,3.30703
10/1/2016,3.25421
1/1/2017,5.53369
4/1/2017,2.56865
7/1/2017,3.9593
10/1/2017,6.12259
1/1/2018,-1.22456
4/1/2018,2.93464
7/1/2018,7.19586
10/1/2018,-13.97161
1/1/2019,13.0662
4/1/2019,3.78775
7/1/2019,1.18908
10/1/2019,8.53417
1/1/2020,-20.00105
4/1/2020,19.95287
7/1/2020,8.47372
10/1/2020,11.68808
1/1/2021,5.77252
