DATE,SPCS10RSA_PC1
1988-01-01,12.12731
1988-02-01,11.65426
1988-03-01,11.35610
1988-04-01,10.97291
1988-05-01,10.55073
1988-06-01,10.56084
1988-07-01,10.75392
1988-08-01,10.89815
1988-09-01,10.92907
1988-10-01,10.77750
1988-11-01,10.79003
1988-12-01,10.48481
1989-01-01,10.69830
1989-02-01,10.74949
1989-03-01,11.25979
1989-04-01,11.41121
1989-05-01,11.09525
1989-06-01,10.30752
1989-07-01,9.14691
1989-08-01,8.40265
1989-09-01,7.64275
1989-10-01,7.21292
1989-11-01,6.68222
1989-12-01,6.17336
1990-01-01,5.51981
1990-02-01,4.85497
1990-03-01,3.68219
1990-04-01,2.78754
1990-05-01,1.85838
1990-06-01,1.13431
1990-07-01,0.53575
1990-08-01,-0.28714
1990-09-01,-1.04728
1990-10-01,-1.92496
1990-11-01,-2.82199
1990-12-01,-3.58657
1991-01-01,-4.57457
1991-02-01,-5.31110
1991-03-01,-6.10433
1991-04-01,-6.32760
1991-05-01,-5.75414
1991-06-01,-5.10446
1991-07-01,-4.26547
1991-08-01,-3.59672
1991-09-01,-3.08957
1991-10-01,-2.64468
1991-11-01,-2.20209
1991-12-01,-1.71938
1992-01-01,-1.00915
1992-02-01,-0.32767
1992-03-01,0.38870
1992-04-01,0.64258
1992-05-01,0.38465
1992-06-01,-0.13733
1992-07-01,-0.85010
1992-08-01,-1.20652
1992-09-01,-1.42760
1992-10-01,-1.54418
1992-11-01,-1.52165
1992-12-01,-1.64777
1993-01-01,-1.51446
1993-02-01,-1.56807
1993-03-01,-1.81062
1993-04-01,-1.99035
1993-05-01,-2.08566
1993-06-01,-1.85288
1993-07-01,-1.73071
1993-08-01,-1.81551
1993-09-01,-1.66191
1993-10-01,-1.58191
1993-11-01,-1.37021
1993-12-01,-1.24161
1994-01-01,-1.08474
1994-02-01,-0.81543
1994-03-01,-0.24477
1994-04-01,0.23372
1994-05-01,0.55370
1994-06-01,0.66992
1994-07-01,1.01810
1994-08-01,1.36816
1994-09-01,1.44936
1994-10-01,1.69922
1994-11-01,1.62201
1994-12-01,1.71874
1995-01-01,1.50666
1995-02-01,1.37872
1995-03-01,0.84684
1995-04-01,0.40137
1995-05-01,0.10413
1995-06-01,-0.14348
1995-07-01,-0.21151
1995-08-01,-0.24948
1995-09-01,-0.19071
1995-10-01,-0.31088
1995-11-01,-0.33185
1995-12-01,-0.38092
1996-01-01,-0.27757
1996-02-01,-0.20935
1996-03-01,0.14300
1996-04-01,0.59041
1996-05-01,0.91063
1996-06-01,1.05240
1996-07-01,1.05087
1996-08-01,1.11955
1996-09-01,1.20218
1996-10-01,1.42153
1996-11-01,1.69874
1996-12-01,1.90041
1997-01-01,2.05528
1997-02-01,2.08196
1997-03-01,2.36327
1997-04-01,2.46928
1997-05-01,2.65179
1997-06-01,3.14718
1997-07-01,3.49576
1997-08-01,3.86713
1997-09-01,4.06958
1997-10-01,4.44335
1997-11-01,4.82676
1997-12-01,5.37331
1998-01-01,5.97226
1998-02-01,6.66240
1998-03-01,7.13249
1998-04-01,7.49175
1998-05-01,7.96061
1998-06-01,8.41234
1998-07-01,8.99034
1998-08-01,9.34592
1998-09-01,9.81378
1998-10-01,9.74032
1998-11-01,9.48593
1998-12-01,9.13680
1999-01-01,8.94405
1999-02-01,8.89401
1999-03-01,8.87358
1999-04-01,9.23411
1999-05-01,9.19832
1999-06-01,9.25718
1999-07-01,9.23276
1999-08-01,9.34490
1999-09-01,9.39241
1999-10-01,9.65911
1999-11-01,10.20995
1999-12-01,10.79282
2000-01-01,11.06298
2000-02-01,11.43708
2000-03-01,11.96204
2000-04-01,12.33680
2000-05-01,13.07454
2000-06-01,13.40461
2000-07-01,13.26510
2000-08-01,13.16444
2000-09-01,13.20073
2000-10-01,13.46899
2000-11-01,13.76084
2000-12-01,14.08413
2001-01-01,14.57634
2001-02-01,14.52318
2001-03-01,14.12496
2001-04-01,13.36397
2001-05-01,12.20701
2001-06-01,11.33519
2001-07-01,11.03029
2001-08-01,10.89847
2001-09-01,10.83832
2001-10-01,10.46853
2001-11-01,9.88462
2001-12-01,8.85452
2002-01-01,8.14083
2002-02-01,7.77031
2002-03-01,7.90857
2002-04-01,8.47202
2002-05-01,9.57269
2002-06-01,10.63952
2002-07-01,11.65303
